"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RI4PLJHU","journalArticle","2025","Kumar, Valipi Dinesh; Bhattacharyya, Anindya; Behera, Rajendra Prasad; Prabakar, K.","Fault detection in thermocouples: Unveiling anomalies with machine learning and signal processing","","","0029-5493","10.1016/j.nucengdes.2025.113955","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:04","","","","","435.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Kumar-et-al-2025-2cb683956c25817bbf37ceda49cdd5d5","machine learning; notion; feature extraction; statistical features; fault detection; accelerated aging; empirical mode decomposition; k-type thermocouple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8ICSQJJ","journalArticle","2020","Mohapatra, Debashish; Subudhi, Bidyadhar","Weighted majority rule ensemble classifier for sensor fault classification for plasma position control in Tokamaks","","","0920-3796","10.1016/j.fusengdes.2020.111969","","","2020","2025-12-15 17:38:50","2025-12-16 17:56:07","","","","","160.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Mohapatra-and-Subudhi-2020-2cb683956c2581b1a4d2d50f61237665","notion; ensemble classifiers; machine learning applications; sensor fault detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXLJGLYS","journalArticle","2024","Johnson, Jyothisraj; Boxer, Billy; Prakash, Tarun; Grace, Carl; Sorensen, Peter; Tripathi, Mani","Investigating resource-efficient neutron/gamma classification ML models targeting eFPGAs","","","1748-0221","10.1088/1748-0221/19/07/P07034","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:08","","","","","19.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/SYQTJSUZ/Johnson et al. - 2024 - Investigating resource-efficient neutrongamma classification ML models targeting eFPGAs.pdf; ","notion://www.notion.so/Johnson-et-al-2024-2cb683956c25819ca9fdc15e772078e4","notion; etc); gas and liquid scintillators); scintillation and light emission processes (solid; apds; ccds; cmos imagers; ebccds; emccds; g-apds; photon detectors for uv; scintillators; si-pmts; trigger concepts and systems (hardware and software); visible and ir photons (solid-state) (pin diodes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZPMFMIF","journalArticle","2023","Zhou, Tianze; Yu, Kaicheng; Cheng, Maosong; Li, Rui; Dai, Zhimin","Development and validation of machine learning-based transient identification models in a liquid-fueled molten salt reactor system","","","0029-5493","10.1016/j.nucengdes.2023.112682","","","2023","2025-12-15 17:38:50","2025-12-16 17:56:08","","","","","415.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Zhou-et-al-2023-2cb683956c258123b643ca41a5ca2c4c","machine learning; notion; nuclear safety; msr; transient identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96NZPRBJ","journalArticle","2024","Li, Xinpeng; Song, Jiayue; Yang, Li; Li, Huanting; Fang, Sheng","Source term inversion coupling kernel principal component analysis, whale optimization algorithm, and backpropagation neural networks (KPCA-WOA-BPNN) for complex dispersion scenarios","","","0149-1970","10.1016/j.pnucene.2024.105171","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:08","","","","","171.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Li-et-al-2024-2cb683956c2581ebae61ef9ea6dbdfae","notion; whale optimization algorithm; backpropagation neural network; complex dispersion scenarios; kernel principal component analysis; source term inversion; wind tunnel experiment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37XKITYU","journalArticle","2022","Dong, Bing; Yang, Kang; Zhang, Wei; Yin, Junlian; Wang, Dezhong","An improved method for PWR fuel failure detection using cascade-forward neural network with decision tree","","","2296-598X","10.3389/fenrg.2022.851848","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:09","","","","","10.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/D84AAHJH/Dong et al. - 2022 - An improved method for PWR fuel failure detection using cascade-forward neural network with decision.pdf; ","notion://www.notion.so/Dong-et-al-2022-2cb683956c2581018a8dfc3c49ca88d2","notion; decision tree; neural network; cladding defect; fission product; fuel failure detection; nuclear fuel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGSZZT94","journalArticle","2025","Nasir, K. M. Zaheen; Chakma, Tanaya","Constitutive modeling of anisotropic plasticity with ML algorithms in metals","","","0029-5450","10.1080/00295450.2024.2410620","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:09","","","","","211.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Nasir-and-Chakma-2025-2cb683956c2581e9a29efd9e144a521e","machine learning; notion; constitutive modeling; plasticity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WE5HHZD","journalArticle","2025","Maglas, Najeeb N. M.; Najar, Merouane; Qiang, Zhao","Automating HotSpot health physics code for enhanced radiological risk assessment using python","","","0969-8043","10.1016/j.apradiso.2025.112150","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:10","","","","","226.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Maglas-et-al-2025-2cb683956c2581be8dcdf0e76c413220","notion; nuclear safety; emergency response; gaussian plume model; hotspot code automation; python programming; radiological risk assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PIKB48B","journalArticle","2021","Juraku, Kohta; Sugawara, Shin-Etsu","Structural ignorance of expertise in nuclear safety controversies: Case analysis of post-fukushima japan","","","0029-5450","10.1080/00295450.2021.1908075","","","2021","2025-12-15 17:38:50","2025-12-16 17:56:19","","","","","207.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/9QZCQD6Z/Juraku and Sugawara - 2021 - Structural ignorance of expertise in nuclear safety controversies Case analysis of post-fukushima j.pdf; ","notion://www.notion.so/Juraku-and-Sugawara-2021-2cb683956c25812a8b1efc8a62570abe","notion; uncertainty; fukushima nuclear accident; risk governance; structural ignorance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTLWF6EY","journalArticle","2025","Elbordany, Ayman A.; Kandil, Magy M.; Youness, Hassan A.; Abdelaal, Hammam M.","An efficient AI algorithm for fault diagnosis in nuclear power plants based on machine deep learning techniques","","","0149-1970","10.1016/j.pnucene.2024.105580","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:19","","","","","180.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Elbordany-et-al-2025-2cb683956c2581968439d855d64146be","neural networks; nuclear power plants; notion; fault diagnosis; machine learning algorithms; deep learning algorithm; loss of coolant accident","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWGYK9KR","journalArticle","2022","Chilanga, Catherine Chilute; Lysdahl, Kristin Bakke","Ethical impact of suboptimal referrals on delivery of care in radiology department","","","0306-6800","10.1136/medethics-2021-107335","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:23","","","","","48.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Chilanga-and-Lysdahl-2022-2cb683956c25819f91e0e150049f62f0","ethics; notion; radiology; health personnel; quality of health care","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWW6PC8B","journalArticle","2025","Mandal, Dipak Kumar; Vaishali; Gupta, Kritesh Kumar; Biswas, Nirmalendu; Manna, Nirmal K.; Santra, Somnath; Cuce, Erdem","A novel comparative study of machine learning surrogate models for solar chimney (SC) plant performance evaluation: Thermo-physical insights","","","0360-5442","10.1016/j.energy.2025.136744","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:23","","","","","330.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Mandal-et-al-2025-2cb683956c258124a4cac450d36b9557","notion; chimney diameter; chimney divergence; collector inlet height; power generation; solar chimney power plant; surrogate models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MZ7ISPQ","journalArticle","2019","Bertsimas, Dimitris; Masiakos, Peter T.; Mylonas, Konstantinos S.; Wiberg, Holly","Prediction of cervical spine injury in young pediatric patients: an optimal trees artificial intelligence approach","","","0022-3468","10.1016/j.jpedsurg.2019.03.007","","","2019","2025-12-15 17:38:50","2025-12-16 17:56:24","","","","","54.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Bertsimas-et-al-2019-2cb683956c2581a2ad39d4f87b2ec9ba","machine learning; artificial intelligence; notion; cervical spine injury; cervical spine trauma; optimal classification trees","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDGWH83J","journalArticle","2022","Theakstone, Ashton G.; Brennan, Paul M.; Ashton, Katherine; Czeiter, Endre; Jenkinson, Michael D.; Syed, Khaja; Reed, Matthew J.; Baker, Matthew J.","Vibrational spectroscopy for the triage of traumatic brain injury computed tomography priority and hospital admissions","","","0897-7151","10.1089/neu.2021.0410","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:24","","","","","39.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/U4MNAY4T/Theakstone et al. - 2022 - Vibrational spectroscopy for the triage of traumatic brain injury computed tomography priority and h.pdf; ","notion://www.notion.so/Theakstone-et-al-2022-2cb683956c25819c9a15d925fc5b608c","notion; traumatic brain injury; chemometrics; ct brain imaging; vibrational spectroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SY3EKHPD","journalArticle","2021","Kowalchuk, Roman O.; Waters, Michael R.; Richardson, K. Martin; Spencer, Kelly; Larner, James M.; McAllister, William H.; Sheehan, Jason P.; Kersh, Charles R.","Stereotactic body radiation therapy for spinal metastases: a novel local control stratification by spinal region","","","1547-5654","10.3171/2020.6.SPINE20861","","","2021","2025-12-15 17:38:50","2025-12-16 17:56:24","","","","","34.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Kowalchuk-et-al-2021-2cb683956c258161861de50618ba5337","notion; oncology; local control; metastasis; sabr; sbrt; stereotactic ablative radiosurgery; stereotactic body radiation therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8UMKIG3","journalArticle","2022","Braun, Jeremy; Quirk, Sarah; Tchistiakova, Ekaterina","Machine learning-generated decision boundaries for prediction and exploration of patient-specific quality assurance failures in stereotactic radiosurgery plans","","","0094-2405","10.1002/mp.15454","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:25","","","","","49.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Braun-et-al-2022-2cb683956c2581fd8474d5e9145845b5","machine learning; notion; stereotactic radiosurgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIYGLJFP","journalArticle","2022","Chamseddine, Ibrahim; Kim, Yejin; De, Brian; El Naqa, Issam; Duda, Dan G.; Wolfgang, John; Pursley, Jennifer; Paganetti, Harald; Wo, Jennifer; Hong, Theodore; Koay, Eugene J.; Grassberger, Clemens","Predictive modeling of survival and toxicity in patients with hepatocellular carcinoma after radiotherapy","","","2473-4276","10.1200/CCI.21.00169","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:33","","","","","6.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Chamseddine-et-al-2022-2cb683956c2581ada0f0c1f526007297","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D33D4BEH","journalArticle","2023","Zhe, Ye; Huan, Yuan; Liu, Dingxin; Wang, Xiaohua; Yang, Aijun; Rong, Mingzhe","Spectral processing for detection of iron particles in transformer oil by laser-induced breakdown spectroscopy","","","0258-7025","10.3788/CJL220852","","","2023","2025-12-15 17:38:50","2025-12-16 17:56:33","","","","","50.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Zhe-et-al-2023-2cb683956c2581c2ba5bd88cf6a7f684","notion; transformer oil; iron particle; laser-induced breakdown spectroscopy; spectral processing algorithm; spectroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MML2ITT","journalArticle","2023","Khan, Naseer Muhammad; Ma, Liqiang; Feroze, Tariq; Wang, Dangliang; Cao, Kewang; Gao, Qiangqiang; Wang, Hui; Hussain, Sajjad; Zhang, Zhitao; Alarifi, Saad S.","Investigating average infrared radiation temperature characteristics during shear and tensile cracks in sandstone under different water contents","","","1350-4495","10.1016/j.infrared.2023.104968","","","2023","2025-12-15 17:38:50","2025-12-16 17:56:34","","","","","135.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Khan-et-al-2023-2cb683956c2581fe96a3ed3977d220b4","notion; random forest; ae; airt; shear loading; water content","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSI9NP58","journalArticle","2024","Sadeghi, Hossein; Seif, Fatemeh; Farahani, Erfan Hatamabadi; Khanmohammadi, Soraya; Nahidinezhad, Shahla","Utilizing patient data: A tutorial on predicting second cancer with machine learning models","","","2045-7634","10.1002/cam4.70231","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:35","","","","","13.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Sadeghi-et-al-2024-2cb683956c2581b38aa4eb838d25244a","machine learning; notion; precision medicine; decision trees; radiation dosage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
