Title,Study,Background Flag,Data Flag,Modeling Flag,Results Flag,Bias Flag,Discussion Flag,Other,Explanation,Score
Acute stroke CDS: automatic retrieval of thrombolysis contraindications from unstructured clinical letters,Cutforth 2023,,,,,Low Concern,,,"Most participants were Scottish and they didn’t show any consideration of gender, age, or ethnicity on influencing the results. ",95.24
Robotics and AI into healthcare from the perspective of European regulation: who is responsible for medical malpractice?,DeMicco 2024,,Medium Concern,,,Medium Concern,,,"This is a well-done piece but I’m a little worried about the lack of data in making their claims? It’s more of a legal/regulatory argument and seems well-researched, but it’s hard to evaluate. No assessment of bias and highly relevant to the topic.",80.95
Toward generalizability in the deployment of artificial intelligence in radiology: Role of computation stress testing to overcome underspecification,Eche 2021,Medium Concern,,,,,Medium Concern,,"This paper was more of a commentary on common issues in radiology imaging using AI. It highlights underspecification and overfitting, but the techniques it proposes to address these concerns are pretty common within the AI community itself. So this seems like more of a dialogue to medical professionals that don't know a lot about AI rather than the other way around. I'm flagging background and discussion because it seemed like the context and population were unclear and likewise I flagged discussion because they offered a pretty limited discussion of novel results and more of an explanation of common phenomena in AI.",80.95
Autonomised harming,Eggert 2025,,,,,,,,"While this paper doesn't provide any explicit data or modeling results, it is an extremely high quality paper that goes through thorough philosophical and ethical arguments about a variety of ways we can assess the accountability of AI systems, specifically in the context of autonomized harming, which is defined in the paper.",100
NLE-DM: Natural-language explanations for decision making of autonomous driving based on semantic scene understanding,Feng 2023,,,Low Concern,,Low Concern,,,"Several of the datasets used by these authors, as well as all of their modeling is available on a public GitHub repository. However, I flagged modeling because they call explanations something that is not maybe a true explanation because they just use natural language processing likelihoods in a sense. So this is a bit of a misnomer. Also, I flagged bias because they don't consider any subgroups of individuals like ethnicity, age, or gender in their evaluation of their results.",90.48
Stereotactic radiation therapy or protons for uveal melanoma patients? An artificial intelligence (AI)-based clinical treatment decision-making tool predicting doses to radiation therapy constraints,Fleury 2025,,Medium Concern,,,,,,Only considered 66 patients,90.48
Patient perspectives on the use of artificial intelligence in prostate cancer diagnosis on MRI,Fransen 2025,,Low Concern,,,Low Concern,,,"The study noted differences in demographic and made commentary on those differences but didn't perform a formal analysis. The study only surveyed around 200 patients.

”Table 2 shows the odd ratios to agree with a statement having higher education, MRI history, PCa history, cancer history, or higher age. Persons with higher education tended to accept AI if it would outperform radiologists and found the radiologist responsible for the failure of the computer (p < 0.05). Significant results were found between statements and higher age (p < 0.01), but the odd ratios were around 1.00, indicating no strong increase or decrease in acceptance of the statement.”",90.48
"From Lindbergh's cockpit to predictive, AI-driven health care: a roadmap for high-reliability medicine",Fuchs 2025,,,,,,Medium Concern,,"This was a very thorough perspective paper. However, I do worry about the lack of mention of explainability or interpretability in the AI systems that they propose in this paper. There is some mention of a type of black box recording mechanism so that AI can be audited post-accident and evaluated that way, but they don't put an emphasis on readily interpretable algorithms with explainable decision making and that kind of thing.",90.48
An ethical trajectory planning algorithm for autonomous vehicles,Geisslinger 2023,,,,,Low Concern,,,"The only quality infraction I can see here is a lack of bias assessment based on different genders, ethnicities, or ages.",95.24
New case law and liability risks for manufacturers of medical AI,Gerke 2025,,,,,,,,I have no quality concerns for this paper.,100
Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalistic data,Goodall 2021,,Low Concern,,,Low Concern,,,"The data here are from a limited setting, which is the state of California and mostly occur in major cities and similar urban environments. So it's difficult to extract the actual ability of the AVs from their ability in a specific context. The authors don't consider the effect of different genders, ethnicities, or ages on the results.",90.48
Automated vehicles - is a dilution of human responsibility the answer?,Guensberg 2022,,,,,Low Concern,,,This is a legal/regulatory analysis with a strong review of pertinent literature and background. No modeling present and no mention on the impact of bias. Ranked as low concern on the assumption that the laws in reference would treat individuals equally in the first place.,95.24
Artificial intelligence in health care: Accountability and safety,Habli 2020,Low Concern,,,,,Low Concern,,"This study does discuss the risk of bias, but doesn't provide many concrete examples other than just mentioning it. Additionally, this study has limited real-world examples and mostly focuses on hypothetical scenarios.",90.48
"The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute",Holmes 2024,,,Medium Concern,,,,,"I fear there's a lot of extrapolation going on in this analysis from only a few hypothetical scenarios, but I do think that they raise valid points. They're just in a very data-limited context.",90.48
Fault identification and signal restoration of sensors based on artificial intelligence at nuclear power plants,Hong 2026,,Medium Concern,Low Concern,,Medium Concern,,,"This study used synthetic data, which raises a data flag. Also, they didn't evaluate how human bias could impact their models. And finally, they didn't consider any differences in how the operators would perceive the information. This includes variations in gender, ethnicity, and race.",76.19
Distinctive physical insights driven from machine learning modelling of nuclear power plant severe accident scenario propagation,Hossny 2023,,Medium Concern,,,,,,"This study uses synthetic data. Also, it alludes to using four common accident scenario data cases, but actually uses simulated data in the study, which is a little misleading.",90.48
Effects of false alarms and miscues of decision support systems on human-machine system performance: a study with airport security screeners,Huegli 2025,,Low Concern,,,Low Concern,,,"This study was conducted at a single airport. the study did not evaluate the impact of possible differences in gender, ethnicity, age, and the outcome of performance.",90.48
Accelerated testing and evaluation for black-box autonomous driving systems via adaptive markov chain monte carlo,Ji 2025,,,Low Concern,,Low Concern,,,"It seems that the four models that they used in this paper to evaluate were simply chosen because they were ""top models."" However, I believe that further justification should be required on the details of why these models were chosen as representations of the state of the art. Additionally, I notice that there is no consideration of bias throughout this paper.",90.48
"Artificial intelligence and clinical decision support: clinicians' perspectives on trust, trustworthiness, and liability",Jones 2023,,,,,Low Concern,,,"This paper makes a lot of claims based on different groups of patients and clinicians and their relationship to AI and their level of trust in it. However, it doesn't explain much about the demographics of these groups that could lead to bias in the overall judgments.",95.24
Predicting trust dynamics with dynamic SEM in human-AI collaboration,Kaneko 2025,,Medium Concern,,,Low Concern,,,"The data used in this study were both from a simulation and from another study which involved image recognition on a drone simulator and crowdsourcing based online experiments. The combination seems less than reliable and there was no bias of ethnicity, gender, or age considered in this study.",85.71
Use of artificial intelligence for decision-support to avoid high-risk behaviors during laparoscopic cholecystectomy,Khalid 2023,,Low Concern,,,Low Concern,,,"the final dataset included 126 45-minute segments of tool tissue interactions. No discussion of the impact of gender, ethnicity, or age was present in this study.",90.48
Multi-modal LSTM network for anomaly prediction in piston engine aircraft,Khattak 2024,,Medium Concern,,,Low Concern,,,"This study only considers one plane, it seems, and it also only considers short flights between 30 to 65 minutes. This study does not consider the impact of bias on gender, age, ethnicity, but these are probably not as important for a study about mechanical systems as one with human factors.",85.71
Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,Kieu 2024,,,Low Concern,,Low Concern,,,"This study only considered one type of model and also didn't evaluate the effects of ethnicity, gender, or age.",90.48
Potential uses of AI for perioperative nursing handoffs: a qualitative study,King 2023,,Medium Concern,,,Medium Concern,,,"Study only evaluated 11 nurses study didn't consider the risk of bias based on ethnicity, gender, or age. This was especially important for this paper because it was a qualitative study and focused on human factors.",80.95
Are you AI’S favourite? EU legal implications of biased AI systems in clinical genetics and genomics,Kiseleva 2021,,,,,,,,I don't see any quality assurance infringements in this paper.,100
The Artificial Intelligence Clinician learns optimal treatment strategies for sepsis in intensive care,Komorowski 2018,,,,,Low Concern,,,"Doesn't discuss bias caused by gender, age, or ethnicity, but is otherwise extremely thorough and a well-performed study.",95.24
Bayesian deep learning for aircraft hard landing safety assessment,Kong 2022,,Medium Concern,,,Low Concern,,,Only considered one airport and one type of aircraft in their analysis. Did not discuss any potential biases.,85.71
Toward a responsible future: recommendations for AI-enabled clinical decision support,Labkoff 2024,,,,,,,,This paper really covers all the bases. I can't find any flags for quality infractions.,100
The strange case of dr. Watson: Liability implications of ai evidence-based decision support systems in health care,Lagioia 2020,,,,,Low Concern,,,"Didn't thoroughly consider the impact of gender, ethnicity, or age on the cdss systems evaluated.",95.24
Discrepancy between perceptions and acceptance of clinical decision support Systems: implementation of artificial intelligence for vancomycin dosing,Liu 2023,,,,,Low Concern,,,They showed demographic differences between the interviewees but didn’t describe how that affected their responses,95.24
A physics-informed attention model for integrated driving risk assessment,Lu 2025,,Low Concern,,,Low Concern,,,"Doesn’t discuss any human interaction potentials despite this being a “human in the loop” system
Notes that a larger dataset would allow for more reliable results",90.48
Legal decision-making for highway automated driving,Ma 2023,,Low Concern,Low Concern,,Low Concern,,,"I’m confused by their modeling framework, I think it’s ill-explained. They also only consider driving in China and they don’t evaluate any potential sources of bias.",85.71
Reimagining criminal liability in the age of artificial intelligence: Toward a comparative and reform-oriented legal framework,Maskur 2025,,,,,,,,"I see no reason for quality flags here, this paper covered all its bases",100
Patient safety and quality improvement: Ethical principles for a regulatory approach to bias in healthcare machine learning,McCradden 2020,,,,,,Medium Concern,,This paper is missing some detail on existing regulations and making references to what the status quo is and is a little bit more normative on and saying what it thinks the state of medical AI should be without drawing any present-day existing frameworks.,90.48
Advancing dermatological diagnostics: Interpretable AI for enhanced skin lesion classification,Metta 2024,,,Medium Concern,,Low Concern,,,"The authors mentioned that data bias could be a concern, but then they don't evaluate it in their actual methodology. Additionally, the modeling seems to be kind of all over the place in this paper. They test a wide variety of models without super clear descriptions",85.71
Bayesian safety validation for failure probability estimation of black-box systems,Moss 2024,,,,,Low Concern,,,"Didn’t consider bias, but otherwise very thorough paper.",95.24
Insulin dose optimization using an automated artificial intelligence-based decision support system in youths with type 1 diabetes,Nimri 2020,,,Low Concern,,Low Concern,,,"Model was proprietary and no internal information about the model was made available in the study. Additionally, bias was not evaluated on the basis of gender, age, or ethnicity.",90.48
"Evaluating accountability, transparency, and bias in AI-assisted healthcare decision- making: a qualitative study of healthcare professionals' perspectives in the UK",Nouis 2025,,,Low Concern,,Low Concern,,,"I understand why they did participants of a mix of backgrounds here, but they didn't have a large number from any single group, so it's hard to differentiate between the responses from the different perspectives. They only had a total of 40 participants. Additionally, they didn't evaluate how the participants' backgrounds and their own individual biases might impact the findings of their study.",90.48
Large language model as clinical decision support system augments medication safety in 16 clinical specialties,Ong 2025,,Low Concern,Low Concern,,Medium Concern,,,"This study did not evaluate any bias or fairness from the models that they used. Additionally, the data used in this study was synthetic. They were fictitious clinical vignettes. Finally, using commercially available models that are general AI is not necessarily the most reliable choice for this medical application.",80.95
The need for and conceptual design of an AI model-based integrated flight advisory system,Ramos 2023,,,,,Low Concern,Medium Concern,,"The authors don't present any forms of bias or how differences in gender, ethnicity, or age could impact the human interaction of the systems that they describe. Additionally, a lot of this discussion seems speculative.",85.71
Uncertainty-aware and explainable human error detection in the operation of nuclear power plants,Reddy 2024,,Medium Concern,,,Low Concern,,,"There was some uncertainty about the data described in the actual paper, including the transfer of data from the mechanical sensors. Additionally, no bias was evaluated in this study, which is concerning because it is a human factor study.",85.71
Interpretable machine learning-based individual analysis of acute kidney injury in immune checkpoint inhibitor therapy,Sakuragi 2024,,Low Concern,,,,,,"The study was only conducted at one hospital, so there is some limitation to the amount of data. However, the study did consider the effect of different features through its explanations, and through sub-grouping, did some kind of bias analysis, though it was not comprehensive.",95.24
Regulatory and legal considerations with artificial intelligence in dermatology,Shah 2025,,,,,,,,I have no flags for quality assurance on this paper.,100
The contribution of real-time artificial intelligence segmentation in maxillofacial trauma emergencies,Shhadeh 2025,,Low Concern,,,Low Concern,,,"Limited number of patients and no evaluation of bias on the basis of gender, ethnicity, or age.",90.48
"Leveraging artificial intelligence to reduce diagnostic errors in emergency medicine: Challenges, opportunities, and future directions",Taylor 2025,,,,,,,,I have no quality assurance complaints about this paper.,100
How should autonomous vehicles allocate accident liability? Rethinking the applicability of the hand formula,Tian 2025,,,,,Low Concern,,,"No influence of bias on gender, ethnicity, or age is mentioned here, however this is otherwise a very well-written and thorough article.",95.24
Exploring transparency: A comparative analysis of explainable artificial intelligence techniques in retinography images to support the diagnosis of glaucoma,Vieira 2025,,,,,Low Concern,,,"Huge dataset & public! No mention of bias or the effects of age, ethnicity, or gender, though. ",95.24
Evaluation of ML-based clinical decision support tool to replace an existing tool in an academic health system: Lessons learned,Woo 2020,,,High Concern,,Low Concern,,,"The authors expressed significant difficulty in getting hospital staff to comply with the trial protocol, that is, using the AI based CDSS tool. They note only 30% compliance by the end, which means that their evaluation was pretty inconsistent and therefore unreliable. I think the difficulty of achieving compliance itself is potentially a more useful takeaway than any reported efficacy of the AI CDSS intervention. They also did not consider any bias due to ethnicity, age, or gender in their analysis.",80.95
Prediction failure risk-aware decision-making for autonomous vehicles on signalized intersections,Yang 2023,,,Medium Concern,,Low Concern,,,"Seems biased against cyclists and pedestrians? Also, they don’t present any data on whether or not the chosen scenarios are realistic to consider, for example, side-swiping frequency vs illegal U-turns. No explanation of bias on the basis of gender, ethnicity, or age.",85.71
"Mechanical behaviors and internal pressure bearing capacity of nuclear containment using UHPC and ECC: From numerical simulation, machine learning prediction to fragility analysis",Yao 2024,,,Medium Concern,Medium Concern,Low Concern,,,"Missing performance metrics tables for the ML results as well as hyperparameter tuning (not sure if this was done but not mentioned or not done at all). No notes of bias, but that’s not really expected here.",76.19
Accuracy of prospective assessments of 4 large language model chatbot responses to patient questions about emergency care: Experimental comparative study,Yau 2024,,,,Low Concern,Low Concern,,,"This isn’t the authors’ fault, but the fast development of the models they considered significantly reduces the utility of this work. Though, it is still a very good reference. No mention of bias on the basis of gender, ethnicity, or age.",90.48
Active takeover failure of aggressive drivers during partially automated driving,Yuan 2026,,Low Concern,,,Low Concern,,,"Bias is considered to a variety of extents, but not on the basis of age, ethnicity, or gender. This study used professional drivers, which may not translate exactly to the everyday driver. ",90.48
Human-machine cooperation in safety management: An intelligent decision-making framework for cooling water intake reliability,Zhao 2024,,Medium Concern,High Concern,Medium Concern,Low Concern,,,"It was extremely hard to tell what this analysis was actually about and what kind of modeling techniques they used. I’m not sure if this is just low quality writing or intentionally vague writing trying to hide a poor methodology. There’s no consideration of bias and also, it seems like the main contribution this work had would be the interviews, but these are not well-reported or analyzed. It’s hard to find any results within this paper. ",61.9
A retrospective study on the effectiveness of Artificial Intelligence-based Clinical Decision Support System (AI-CDSS) to improve the incidence of hospital-related venous thromboembolism (VTE),Zhou 2021,,,Medium Concern,,Low Concern,,,"Really good data sample size but obfuscation of the model and type reduced the quality dramatically. Additionally, no consideration of bias was made on any basis.",85.71
