nuclear, artifical intelligence, incidents: 0
clinical, machine learning, near misses: 1
clinical, machine learning, injuries: 95
clinical, machine learning, failures: 163
clinical, machine learning, adverse event: 64
clinical, neural networks, incidents: 2
clinical, neural networks, accidents: 16
clinical, neural networks, near misses: 0
clinical, neural networks, injuries: 32
clinical, neural networks, failures: 52
clinical, neural networks, adverse event: 11
clinical, language models, incidents: 2
clinical, language models, accidents: 11
clinical, language models, near misses: 0
clinical, language models, injuries: 17
clinical, language models, failures: 33
clinical, language models, adverse event: 16
autonomous driving, artifical intelligence, incidents: 0
autonomous driving, artifical intelligence, accidents: 0
autonomous driving, artifical intelligence, near misses: 0
autonomous driving, artifical intelligence, injuries: 0
autonomous driving, artifical intelligence, failures: 0
autonomous driving, artifical intelligence, adverse event: 0
autonomous driving, machine learning, incidents: 0
autonomous driving, machine learning, accidents: 7
autonomous driving, machine learning, near misses: 0
autonomous driving, machine learning, injuries: 0
autonomous driving, machine learning, failures: 2
autonomous driving, machine learning, adverse event: 0
autonomous driving, neural networks, incidents: 1
autonomous driving, neural networks, accidents: 9
autonomous driving, neural networks, near misses: 0
autonomous driving, neural networks, injuries: 0
autonomous driving, neural networks, failures: 2
autonomous driving, neural networks, adverse event: 0
autonomous driving, language models, incidents: 0
autonomous driving, language models, accidents: 1
autonomous driving, language models, near misses: 0
autonomous driving, language models, injuries: 0
autonomous driving, language models, failures: 0
autonomous driving, language models, adverse event: 0
transportation, artifical intelligence, incidents: 0
transportation, artifical intelligence, accidents: 0
transportation, artifical intelligence, near misses: 0
transportation, artifical intelligence, injuries: 0
transportation, artifical intelligence, failures: 0
transportation, artifical intelligence, adverse event: 0
transportation, machine learning, incidents: 5
transportation, machine learning, accidents: 37
transportation, machine learning, near misses: 0
transportation, machine learning, injuries: 11
transportation, machine learning, failures: 10
transportation, machine learning, adverse event: 1
transportation, neural networks, incidents: 2
transportation, neural networks, accidents: 21
transportation, neural networks, near misses: 0
transportation, neural networks, injuries: 4
transportation, neural networks, failures: 9
transportation, neural networks, adverse event: 0
transportation, language models, incidents: 0
transportation, language models, accidents: 0
transportation, language models, near misses: 0
transportation, language models, injuries: 0
transportation, language models, failures: 0
transportation, language models, adverse event: 0
construction, artifical intelligence, incidents: 0
construction, artifical intelligence, accidents: 0
construction, artifical intelligence, near misses: 0
construction, artifical intelligence, injuries: 0
construction, artifical intelligence, failures: 0
construction, artifical intelligence, adverse event: 0
construction, machine learning, incidents: 3
construction, machine learning, accidents: 10
construction, machine learning, near misses: 0
construction, machine learning, injuries: 2
construction, machine learning, failures: 18
construction, machine learning, adverse event: 2
construction, neural networks, incidents: 0
construction, neural networks, accidents: 7
construction, neural networks, near misses: 0
construction, neural networks, injuries: 4
construction, neural networks, failures: 17
construction, neural networks, adverse event: 0
construction, language models, incidents: 1
construction, language models, accidents: 2
construction, language models, near misses: 0
construction, language models, injuries: 6
construction, language models, failures: 2
construction, language models, adverse event: 1
cars, artifical intelligence, incidents: 0
cars, artifical intelligence, accidents: 0
cars, artifical intelligence, near misses: 0
cars, artifical intelligence, injuries: 0
cars, artifical intelligence, failures: 0
cars, artifical intelligence, adverse event: 0
cars, machine learning, incidents: 0
cars, machine learning, accidents: 8
cars, machine learning, near misses: 0
cars, machine learning, injuries: 3
cars, machine learning, failures: 4
cars, machine learning, adverse event: 0
cars, neural networks, incidents: 0
cars, neural networks, accidents: 9
cars, neural networks, near misses: 0
cars, neural networks, injuries: 1
cars, neural networks, failures: 2
cars, neural networks, adverse event: 0
cars, language models, incidents: 0
cars, language models, accidents: 0
cars, language models, near misses: 0
cars, language models, injuries: 0
cars, language models, failures: 0
cars, language models, adverse event: 0
engineering, artifical intelligence, incidents: 0
engineering, artifical intelligence, accidents: 0
engineering, artifical intelligence, near misses: 0
engineering, artifical intelligence, injuries: 0
engineering, artifical intelligence, failures: 0
engineering, artifical intelligence, adverse event: 0
engineering, machine learning, incidents: 1
engineering, machine learning, accidents: 12
engineering, machine learning, near misses: 0
engineering, machine learning, injuries: 3
engineering, machine learning, failures: 23
engineering, machine learning, adverse event: 1
engineering, neural networks, incidents: 2
engineering, neural networks, accidents: 7
engineering, neural networks, near misses: 0
engineering, neural networks, injuries: 2
engineering, neural networks, failures: 20
engineering, neural networks, adverse event: 0
engineering, language models, incidents: 2
engineering, language models, accidents: 2
engineering, language models, near misses: 0
engineering, language models, injuries: 4
engineering, language models, failures: 7
engineering, language models, adverse event: 0
energy, artifical intelligence, incidents: 0
energy, artifical intelligence, accidents: 0
energy, artifical intelligence, near misses: 0
energy, artifical intelligence, injuries: 0
energy, artifical intelligence, failures: 0
energy, artifical intelligence, adverse event: 0
energy, machine learning, incidents: 6
energy, machine learning, accidents: 7
energy, machine learning, near misses: 0
energy, machine learning, injuries: 0
energy, machine learning, failures: 25
energy, machine learning, adverse event: 1
energy, neural networks, incidents: 3
energy, neural networks, accidents: 4
energy, neural networks, near misses: 0
energy, neural networks, injuries: 0
energy, neural networks, failures: 29
energy, neural networks, adverse event: 0
energy, language models, incidents: 1
energy, language models, accidents: 1
energy, language models, near misses: 0
energy, language models, injuries: 0
energy, language models, failures: 2
energy, language models, adverse event: 0
sensitive industry, artifical intelligence, incidents: 0
sensitive industry, artifical intelligence, accidents: 0
sensitive industry, artifical intelligence, near misses: 0
sensitive industry, artifical intelligence, injuries: 0
sensitive industry, artifical intelligence, failures: 0
sensitive industry, artifical intelligence, adverse event: 0
sensitive industry, machine learning, incidents: 0
sensitive industry, machine learning, accidents: 0
sensitive industry, machine learning, near misses: 0
sensitive industry, machine learning, injuries: 0
sensitive industry, machine learning, failures: 1
sensitive industry, machine learning, adverse event: 0
sensitive industry, neural networks, incidents: 0
sensitive industry, neural networks, accidents: 1
sensitive industry, neural networks, near misses: 0
sensitive industry, neural networks, injuries: 0
sensitive industry, neural networks, failures: 2
sensitive industry, neural networks, adverse event: 0
sensitive industry, language models, incidents: 0
sensitive industry, language models, accidents: 0
sensitive industry, language models, near misses: 0
sensitive industry, language models, injuries: 0
sensitive industry, language models, failures: 0
sensitive industry, language models, adverse event: 0
